dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store,gu,landsize
둔촌동,2255744.216,0.81245774,1.218686609,3.656059828,0,1,0,강동구,2461666.5
등촌동,2897871.215,2.287861738,1.143930869,5.338344056,0,1,1,강서구,2622536.1
마곡동,1513248.495,1.86687034,0.560061102,0,0,0,0,강서구,5356558.4
마장동,2877581.738,3.735037905,4.668797381,3.735037905,0,0,0,성동구,1070939.6
마천동,2936195.57,3.398808663,2.039285198,1.359523465,0,0,0,송파구,1471103.7
마포동,3330557.202,0,0,0,0,0,0,마포구,224478.6
만리동1가,3115258.298,0,42.79869207,0,0,0,0,중구,70095.6
만리동2가,4157788.83,13.88638163,0,20.82957244,0,0,0,중구,144026
망우동,1926549.028,5.941198921,6.199511918,3.616381952,0,1,1,중랑구,3871272.5
망원동,3353171.309,2.864125923,0.572825185,1.145650369,0,0,0,마포구,1745733.3
면목동,2152859.049,5.639852177,5.805730183,1.824658057,0,1,1,중랑구,6028526.8
명동1가,32834192.71,81.2521498,216.6723995,0,0,0,0,중구,36922.1
명동2가,41874567.47,16.94481582,67.77926327,0,0,0,0,중구,118030.2
명륜1가,2805051.398,0,0,5.172232765,0,0,0,종로구,193340.1
명륜2가,6200098.988,0,18.4338763,0,0,0,0,종로구,108495.9
명륜3가,2019776.097,0,2.412165806,0,0,0,0,종로구,414565.2
명륜4가,5920276.768,0,53.5153569,0,0,0,0,종로구,74744.9
명일동,3839840.115,8.884579727,1.903838513,2.53845135,0,0,1,강동구,1575763.9
목동,2980246.154,3.746858844,0.936714711,3.37217296,0,1,1,양천구,5337804.5
묘동,9758823.148,195.3665565,32.56109275,0,0,0,0,종로구,30711.5
무교동,18412608.7,93.21257127,0,0,0,0,0,중구,32184.5
무악동,2633685.667,0,0,2.758769853,0,1,0,종로구,362480.4
무학동,5918905.495,256.326692,146.4723954,0,0,0,0,중구,27308.9
묵동,2240994.447,14.72665978,3.155712811,3.681664946,0,0,1,중랑구,1901313.7
묵정동,4570480.37,0,0,0,0,1,0,중구,61869.2
문래동1가,2748143.243,6.112637573,0,0,0,0,0,영등포구,163595.5
문래동2가,3208541.026,20.3825672,20.3825672,0,0,0,0,영등포구,147184.6
문래동3가,3381319.788,1.491835928,0,2.983671856,0,0,1,영등포구,670315
문래동4가,3126659.463,22.82249179,5.705622948,0,0,0,0,영등포구,175265.7
문래동5가,2061308.571,0,0,0,0,0,0,영등포구,305291.9
문래동6가,2904048.78,0,0,6.183894171,0,0,0,영등포구,323420.8
문배동,4196050.505,0,0,0,0,0,0,용산구,113311
문정동,4224696.489,0.766542534,0.383271267,1.916356335,0,0,1,송파구,2609118.1
미근동,3923760.811,0,25.60022938,12.80011469,0,0,0,서대문구,78124.3
미아동,2168167.945,13.02433785,16.68029233,4.34144595,1,0,1,강북구,4376422.1
반포동,6180195.193,1.463145222,1.254124476,2.717269697,0,1,1,서초구,4784214.1
방배동,4997137.733,4.159169578,2.37666833,1.782501248,0,0,0,서초구,6732113.1
방산동,11379287.05,33.83951609,0,0,0,0,0,중구,59102.5
방이동,4841451.755,19.47194764,13.6527449,2.909601371,0,0,0,송파구,4467966
방학동,1904522.845,4.684622347,0.986236284,2.219031638,0,0,1,도봉구,4055823.2
방화동,1976465.009,1.89950965,2.110566278,1.89950965,0,0,0,강서구,4738064.9
번동,1782308.837,10.364107,10.364107,1.850733392,0,0,0,강북구,2701631.7
보광동,4464519.586,5.622996368,5.622996368,0,0,0,0,용산구,711364.5
보문동1가,3266273.5,14.56420265,14.56420265,0,0,0,0,성북구,68661.5
보문동2가,3802775.625,15.56771567,0,0,0,0,0,성북구,64235.5
보문동3가,2131364.844,0,0,8.97319706,0,0,0,성북구,111443
보문동4가,3830290.323,163.0162667,69.8641143,0,0,0,0,성북구,42940.5
보문동5가,3252688.851,0,17.66996742,0,0,0,0,성북구,56593.2
보문동6가,2536271.632,0,0,0,0,0,0,성북구,142146.3
보문동7가,3418792,41.76708169,13.92236056,13.92236056,0,0,0,성북구,71826.9
본동,2183268.622,1.32031677,1.32031677,2.640633541,0,0,0,동작구,757394
봉래동1가,6987974.194,0,0,0,0,0,0,중구,41450.1
봉래동2가,6652430.556,0,0,0,0,0,1,중구,129444.9
봉원동,1433603.584,0,0,0,0,0,0,서대문구,427238
봉익동,6341588.028,0,25.48348543,0,0,0,0,종로구,39241.1
봉천동,2709629.64,8.454081199,4.778393721,3.063072898,1,1,1,관악구,8161738.5
부암동,1100112.929,0,0,0,0,0,0,종로구,1547932
북가좌동,2337248.844,5.692721685,2.846360842,2.134770632,0,0,0,서대문구,1405303.2
북아현동,3424386.824,2.793685228,2.793685228,4.656142047,0,0,0,서대문구,1073850.4
북창동,9926102.31,812.670435,293.4643238,0,0,0,0,중구,44298.4
불광동,2383734.432,7.090709878,3.545354939,1.994262153,0,0,0,은평구,4512947.3
사간동,6161142.012,0,0,0,0,0,0,종로구,28910
사근동,1934843.187,0,0,1.497518911,0,1,0,성동구,667771.2
사당동,2940570.192,12.18727305,3.960863741,2.43745461,0,0,1,동작구,3282112.4
사직동,2648068.512,0,3.519369554,0,1,0,0,종로구,284141.8
산림동,9141464.471,0,88.79772323,0,0,0,0,중구,45046.2
산천동,2948315.556,0,0,10.26297856,0,0,0,용산구,97437.6
삼각동,19179691.49,0,0,0,0,0,0,중구,27259.9
삼선동1가,2305826.102,9.625000361,0,0,0,0,0,성북구,207792.2
삼선동2가,2867772.066,0,0,0,0,0,0,성북구,228192.3
삼선동3가,2750603.537,0,0,11.76724622,0,0,0,성북구,169963.3
삼선동4가,3501750.519,11.40451117,22.80902234,0,0,0,0,성북구,87684.6
삼선동5가,3452804.272,25.03605191,8.345350638,0,0,0,0,성북구,119827.2
삼성동,8685980.094,20.04013915,8.454433702,1.252508697,1,0,1,강남구,3193590.6
삼전동,4670703.039,11.54539281,8.396649317,3.148743494,0,0,0,송파구,952761
삼청동,4262623.746,0,0,0,0,0,0,종로구,1186803.1
상계동,2105005.1,4.337005646,1.785825854,2.040943833,0,1,1,노원구,15679020.4
상도1동,3132769.913,3.177378085,3.177378085,0,0,0,0,동작구,314724.9
상도동,2496502.435,5.068400172,3.097355661,1.971044511,1,0,0,동작구,3551416.5
상봉동,2578752.766,22.90252613,30.10046291,2.617431558,0,0,1,중랑구,1528215.7
상수동,4429030.506,0,1.762840175,1.762840175,0,0,0,마포구,567266.4
상암동,2101134.268,0,0.119615226,0.59807613,0,0,0,마포구,8360139.7
상왕십리동,3835769.406,0,0,0,0,0,0,성동구,151738.3
상월곡동,2147940.848,0,0,1.879705961,0,0,0,성북구,531998.1
상일동,2234881.391,0.376827505,0,2.637792535,1,1,0,강동구,2653734.1
서계동,3615423.184,7.985020102,11.97753015,0,0,0,0,용산구,250469
서교동,5817116.662,32.14777962,7.613947805,0.845994201,0,0,1,마포구,1182041.2
서린동,21721395.06,21.16343889,0,0,0,0,0,종로구,47251.3
서빙고동,2935494.444,0,0,2.525095663,0,0,0,용산구,792049.2
서소문동,12223637.5,69.31628153,0,0,0,0,0,중구,115413
서초동,8527174.061,16.99828952,6.393852021,1.715423713,0,0,1,서초구,6412409.9
석관동,2135232.274,1.153497398,6.344235691,2.306994797,0,0,0,성북구,1733857.4
석촌동,5128782.737,32.7443332,5.281344064,1.056268813,0,0,0,송파구,946728.7
성내동,3665873.043,11.23034218,2.041880396,1.531410297,0,0,0,강동구,1958978.6
성북동,2184992.528,0,0,1.520158364,1,0,0,성북구,2631304.8
성북동1가,3033629.023,0,0,0,0,0,0,성북구,80899.4
성산동,2746667.418,0.390198434,1.950992169,3.121587471,0,0,1,마포구,2562798.6
성수동1가,3461675.265,1.040241788,2.773978102,2.080483577,0,0,0,성동구,2883944.9
성수동2가,3662760.616,6.74192028,8.090304337,1.348384056,0,0,1,성동구,2224885.4
세곡동,1255686.608,0,0,0.826633503,0,0,0,강남구,2419451.9
세종로,17712141.24,0,0,0,0,0,0,종로구,888697.3
소격동,4817806.452,0,0,0,0,0,0,종로구,61335.8
소공동,16215100,12.14787856,36.44363567,0,0,0,1,중구,82318.9
송월동,5489637.273,0,0,0,0,0,0,종로구,44519.7
송정동,2483638.692,1.385727314,4.157181941,0.692863657,0,0,0,성동구,1443285.4
송파동,4945839.577,14.40023186,0,4.54744164,0,0,0,송파구,1319423.2
송현동,4824113.636,0,0,21.9853182,0,0,0,종로구,45484.9
수색동,2238653.507,4.645813263,6.194417684,0.77430221,0,0,1,은평구,1291485.4
수서동,1628335.733,0.380410734,0,2.282464404,0,0,0,강남구,2628737.6
수송동,7800631.868,20.31058954,30.4658843,0,0,0,0,종로구,98470.8
