,dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store
370,정동,5734812.183,0,0,2,0,0,0
371,정릉동,1720613.23,5,8,7,0,0,0
372,제기동,2742301.995,4,31,5,0,0,0
373,종로1가,17719320.75,4,0,0,0,0,0
374,종로2가,28602649.64,2,1,0,0,0,0
375,종로3가,22554968.91,1,1,0,0,0,0
376,종로4가,16937476.68,3,0,0,0,0,0
377,종로5가,12884542.6,55,8,0,0,0,0
378,종로6가,6210036.036,13,3,0,0,0,0
379,종암동,2069340.874,6,14,3,0,0,0
380,주교동,9251660.405,5,4,0,0,0,0
381,주성동,4048660.079,0,0,0,0,0,0
382,주자동,3301809.524,0,0,0,0,0,0
383,중계동,1619102.57,0,0,24,0,0,3
384,중곡동,2538086.137,15,24,9,0,0,0
385,중동,2222235.09,0,0,2,1,0,0
386,중림동,3917397.664,8,9,1,0,0,0
387,중학동,7924000,1,0,0,0,0,0
388,중화동,2172976.666,10,11,5,0,0,0
389,증산동,2390913.417,1,0,3,0,0,0
390,진관동,358381.7989,0,0,1,0,0,0
391,창동,2144108.206,42,8,15,0,0,1
392,창성동,3488912.971,0,0,0,0,0,0
393,창신동,3428567.371,19,35,3,0,0,0
394,창전동,3543074.74,0,0,0,0,0,0
395,창천동,5357418.208,23,46,1,0,0,1
396,천연동,2733154.82,0,2,2,0,0,0
397,천왕동,696630.4659,0,0,1,0,0,0
398,천호동,3853268.959,49,66,8,0,0,4
399,청담동,9336341.399,35,6,4,0,0,1
400,청량리동,2762288.459,9,18,3,0,1,0
401,청암동,2930642.574,0,0,0,0,0,0
402,청운동,2361736.153,0,0,3,0,0,0
403,청진동,12008220.34,8,1,0,0,0,0
404,청파동1가,3156176.56,0,3,0,0,0,0
405,청파동2가,3673772.338,1,2,1,0,0,0
406,청파동3가,3756882.626,3,3,5,0,0,0
407,체부동,4320929.919,2,2,0,0,0,0
408,초동,9673886.364,16,5,0,0,0,0
409,충무로1가,36480848,0,7,0,0,0,1
410,충무로2가,23936506.07,8,21,0,0,0,0
411,충무로3가,10429366.67,25,7,0,0,0,0
412,충무로4가,8258914.972,27,6,0,0,0,0
413,충무로5가,7153680.672,1,5,0,0,0,0
414,충신동,3294421.992,2,1,0,0,0,0
415,충정로1가,7271807.692,0,1,0,0,0,0
416,충정로2가,4277042.322,3,0,3,0,0,0
417,충정로3가,3179031.836,0,0,0,0,0,0
418,태평로1가,15235518.87,5,3,0,0,0,0
419,태평로2가,17195074.87,5,4,0,0,0,0
420,토정동,2313535.211,0,0,0,0,0,0
421,통의동,4246930.693,0,0,0,0,0,0
422,통인동,4867175.644,0,0,0,0,0,0
423,팔판동,4733980.519,0,0,0,0,0,0
424,평동,5880629.925,0,0,0,0,2,0
425,평창동,1830855.983,2,1,1,0,0,0
426,풍납동,2548217.764,5,0,7,1,1,0
427,필동1가,6644924.419,2,1,0,0,0,0
428,필동2가,4814205.837,2,3,0,0,0,0
429,필동3가,3574039.157,0,1,0,0,0,0
430,필운동,4319579.787,0,1,1,0,0,0
431,하계동,1437565.88,0,0,8,2,1,0
432,하왕십리동,3253219.784,2,3,2,0,0,0
433,하월곡동,2581921.251,8,15,4,0,0,3
434,하중동,2819292.308,0,0,0,0,0,0
435,한강로1가,8300583.026,4,0,0,0,0,0
436,한강로2가,13011180.09,13,8,1,0,0,1
437,한강로3가,8256128.949,6,10,2,0,0,1
438,한남동,4962646.415,37,7,1,0,1,0
439,합동,4039926.316,0,0,0,0,0,0
440,합정동,3753746.695,7,9,2,0,0,0
441,항동,907832.6165,0,0,0,1,0,0
442,행당동,3167801.028,5,3,3,0,0,2
443,행촌동,2288183.683,0,0,2,0,0,0
444,현석동,2341768.519,0,0,0,0,0,0
445,현저동,1123867.522,0,0,1,0,0,0
446,혜화동,3722977.241,0,0,6,0,0,0
447,홍은동,1745204.34,7,6,7,0,1,0
448,홍익동,3797160.494,2,3,0,0,0,0
449,홍제동,2334257.463,14,12,4,0,0,0
450,홍지동,1595493.17,0,2,3,0,0,0
451,홍파동,5600257.828,0,0,0,0,0,0
452,화곡동,2303774.646,242,136,12,1,0,0
453,화동,4401278.355,0,0,0,0,0,0
454,화양동,4132349.78,20,30,5,0,1,0
455,황학동,4348284.227,23,20,0,0,0,1
456,회기동,2963915.96,3,5,3,0,1,0
457,회현동1가,8140010.36,4,25,0,0,0,0
458,회현동2가,4240976.25,1,0,0,0,0,0
459,회현동3가,5408228.986,0,1,0,0,0,0
460,효자동,3182476.563,0,0,0,0,0,0
461,효제동,6052200,19,14,1,0,0,0
462,효창동,3915253.795,0,0,1,0,0,0
463,후암동,3107390.794,0,4,2,0,0,0
464,훈정동,1752285.714,0,0,0,0,0,0
465,휘경동,2213500.974,4,16,7,0,1,0
466,흑석동,3413263.581,5,5,4,0,1,0
467,흥인동,6135674.847,3,2,1,0,0,0
